iy,id,it,imin,qn,qh,qe,qs,qf,U,RH,Tair,pres,rain,kdown,snow,ldown,fcld,Wuh,xsmd,lai,kdiff,Kdir,wdir
2017,272,4,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,94,22.22,29.34,0.0635,-999.00,-999.00,-999.00,-999.00,-999.00,0.467,-999.00,-999.00,0,-999.00
2017,272,5,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,94,22.22,29.36,0.0635,-999.00,-999.00,-999.00,-999.00,-999.00,0.502,-999.00,-999.00,0,-999.00
2017,272,6,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,94,21.67,29.37,0.0635,-999.00,-999.00,-999.00,-999.00,-999.00,0.527,-999.00,-999.00,0,-999.00
2017,272,7,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,94,21.67,29.4,0.04233333,-999.00,-999.00,-999.00,-999.00,-999.00,0.519,-999.00,-999.00,0,-999.00
2017,272,8,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,94,21.67,29.4,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.51,-999.00,-999.00,8,-999.00
2017,272,9,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,94,21.67,29.42,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.539,-999.00,-999.00,14,-999.00
2017,272,10,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,91,22.22,29.41,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.533,-999.00,-999.00,99,-999.00
2017,272,11,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,82,23.33,29.4,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.523,-999.00,-999.00,106,-999.00
2017,272,12,0,-999.00,-999.00,-999.00,-999.00,-999.00,8,78,23.89,29.38,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.515,-999.00,-999.00,140,-999.00
2017,272,13,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,79,23.89,29.38,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.513,-999.00,-999.00,321,-999.00
2017,272,14,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,77,24.44,29.36,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.506,-999.00,-999.00,373,-999.00
2017,272,15,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,77,24.44,29.36,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.498,-999.00,-999.00,199,-999.00
2017,272,16,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,79,23.89,29.36,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.496,-999.00,-999.00,94,-999.00
2017,272,17,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,79,23.33,29.36,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.487,-999.00,-999.00,44,-999.00
2017,272,18,0,-999.00,-999.00,-999.00,-999.00,-999.00,8,79,22.78,29.38,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.485,-999.00,-999.00,0,-999.00
2017,272,19,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,79,21.67,29.39,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.479,-999.00,-999.00,0,-999.00
